指标,均值差(痰湿-非痰湿),p值,显著差异(p<0.05),检验方法
TC（总胆固醇）,-0.1789638603798398,0.20413878189848456,False,Mann-Whitney U检验
ADL总分,-0.31319874848044194,0.40647342810385856,False,Mann-Whitney U检验
血尿酸,8.683821917535226,0.4220059883603571,False,Mann-Whitney U检验
HDL-C（高密度脂蛋白）,0.014111531716455294,0.44011075860801807,False,独立样本t检验
IADL总分,0.3041112816118279,0.5479121381993497,False,独立样本t检验
TG（甘油三酯）,-0.03408541122780462,0.6141379727648542,False,Mann-Whitney U检验
BMI,-0.04098393451443627,0.6609825551402512,False,Mann-Whitney U检验
LDL-C（低密度脂蛋白）,0.018180505789274104,0.6708125392676871,False,独立样本t检验
空腹血糖,-0.0237028079475472,0.7384694442914661,False,独立样本t检验
活动量表总分（ADL总分+IADL总分）,-0.009087466868606953,0.9943426810886405,False,Mann-Whitney U检验
